"combination_id","combination_name","meaning","image_count_hint","best_for_marketing","best_for_business","best_for_relation","arrangement_principle","positive_visual_language","prompt_fragment","negative_rule_ids","notes"
"combo_single_hero","单品主推式陈列","一个商品或核心视觉主体作为画面主角，标题和权益围绕它组织。","1","m_new_arrival|m_professional_recommendation|m_flash_sale|m_good_goods|m_service_trust","all","rel_single_hero|rel_primary_support","依据主体形态选择中心、偏心、极简产品发布感、浅层微场景或信息模块承载，核心是完整露出和视觉重心稳定；消费电子 B 档单主商品先从主体清晰展示、功能局部特写、高级几何承托空间中选定一个主方向并写入 review，可融合另外 1-2 个辅助方向服务商品质感、空间承托或细节表达；同时可使用建筑切面式块面、浅色强对比或深色强对比、材质边缘高光、真实或半真实空间、浅层微场景或少量精致道具来承托商品；承托结构优先几何块面、品牌色块、磨砂材质平面、金属、石材、漆面或阶梯式透视平面；单张游戏人物或角色立绘可作为整张海报的主视觉人物。","主体轮廓干净，光影和空间指向主体，标题区与主体区之间有清晰呼吸感；消费电子商品保持最清晰视觉位置，材质纹理、边缘高光、接触阴影、产品自身反射和明确明暗层次共同形成克制高端发布感；信息模块轻量、细线、短句、低透明，不抢商品；游戏人物主视觉可与弱游戏语境背景、活动光线或平面图形背景形成一体化前后景。","采用单品主推式陈列，主商品或主视觉主体占据最清晰视觉位置，标题、卖点、承托空间和背景都服务主体。","neg_product_identity|neg_no_crop_occlusion|neg_visual_clutter","稳定承托优先组合；消费电子 B 档从主体清晰展示、功能局部特写、高级几何承托空间中选一个主方向并记录，可融合另外 1-2 个辅助方向；同时承接浅色强对比或深色强对比、材质边缘高光、真实或半真实空间和浅层微场景。支持商品图、单主商品轻信息模块和单张游戏人物主视觉。"
"combo_billiards_cue_diagonal_texture","台球杆斜向质感陈列","台球杆展示方式基线：以斜向长线条、局部工艺放大和近景裁切为核心，突出专业器材的材质、细节和收藏级质感。","1_plus","m_professional_recommendation|m_good_goods|m_flash_sale|m_subsidy_benefit|m_new_arrival","biz_n_category","rel_single_hero|rel_multi_collection","上传图作为商品身份参考，不锁死原图构图；B 档在无人物陈列时默认优先使用这套商品展示骨架。主视觉必须优先是杆尾或握把附近的局部放大，不以全杆完整展示为默认目标；画面必须清晰看到至少一个高价值细节：镶嵌纹理、金属环、木纹、握把皮纹或漆面高光。多杆时，多个素材默认进入多杆陈列，采用平行错落、轻微角度差、前后层次或同向延展，不按主推+陪衬处理，不做普通商品排队。前景可使用少量虚化台球、材质边缘、光影切面或雾化层形成深度，遮挡只服务近景层次和高级感。人物参与为是时，不使用本组合，应改走 combo_billiards_cue_people_use / 台球杆人物使用陈列。","重点突出杆身纹理、握把皮纹、木纹、金属环、镶嵌装饰、漆面高光和接触阴影，画面保持专业、沉稳、克制、有收藏级器材气质；允许强近景、强裁切、局部放大和少量前景层次，但握把、金属环、镶嵌纹理、杆身延伸方向等关键识别特征稳定。默认优先局部质感近景；多杆时优先多杆错落陈列且每根杆保持可识别。","采用台球杆斜向质感陈列，默认以斜向长线条和局部工艺近景组织画面，不以全杆完整展示为默认目标；默认优先局部放大并清晰呈现高价值细节，多杆时优先成组错落陈列，通过局部质感放大、杆身延伸和少量前景层次突出专业器材价值；人物参与为是时不调用本组合。","neg_product_identity|neg_no_crop_occlusion|neg_visual_clutter","台球杆 B 档展示方式基线；以斜向广告式器材陈列服务高级商品摄影；人物参与为是时改走台球杆人物使用陈列。"
"combo_billiards_cue_natural_texture_display","台球杆自然质感陈列","台球杆在场景承托下的自然展示骨架：以自然落位、局部放大和器材质感为核心，突出专业器材细节、控制感和收藏级气质。","1_plus","m_professional_recommendation|m_good_goods|m_flash_sale|m_subsidy_benefit|m_new_arrival","biz_n_category","rel_single_hero|rel_multi_collection","上传图只作商品身份参考，不锁死原图构图；A/S 在无人物陈列时默认使用本组合。台球杆可自然躺放、轻斜搭放、局部靠放、局部出画或与桌边/台面形成真实关系，不强制单一朝向。主视觉必须以杆尾或握把附近的局部放大为第一视觉重心，并清晰看到至少一个高价值细节：镶嵌纹理、金属环、木纹、握把皮纹或漆面高光。多杆时采用平行错落、轻微角度差、前后层次、局部交叠或同向延展，不按主推+陪衬处理；多杆错落陈列时每根杆可识别。前景层次和少量道具只服务空间真实感与局部重点。人物参与为是时改走 combo_billiards_cue_people_use / 台球杆人物使用陈列。","重点突出杆身纹理、握把皮纹、木纹、金属环、镶嵌装饰、漆面高光和接触阴影，画面保持专业、沉稳、克制、有收藏级器材气质；自然落位提供真实场景关系，局部放大提供器材价值，不让场景或道具盖过商品。多杆时保持错落陈列且每根杆可识别。","采用台球杆自然质感陈列，主视觉必须以杆尾或握把附近的局部放大为第一视觉重心，并清晰呈现至少一个高价值细节；多杆错落陈列且每根杆可识别；人物参与为是时不调用本组合。","neg_product_identity|neg_no_crop_occlusion|neg_visual_clutter","台球杆 A/S 共用展示基线；以自然落位和局部放大区分于 B 档斜向广告式陈列；人物参与为是时改走台球杆人物使用陈列。"
"combo_billiards_cue_people_use","台球杆人物使用陈列","台球杆在人物真实使用关系中的专用展示骨架。","1","m_professional_recommendation|m_good_goods|m_flash_sale|m_subsidy_benefit|m_new_arrival","biz_n_category","rel_single_hero","上传图作为商品身份参考，仅用于单张台球杆素材且人物参与为是的路由。人物使用上传商品图中的同一根台球杆形成真实出杆姿态，后手位于杆尾或握把区域，前手贴台形成架杆。人物使用关系是主组织逻辑，默认采用能完整读出使用关系的近中景、中景或半身镜头，优先保证前手、后手、杆身延伸方向和出杆姿态成立，同时保持同一款台球杆的核心外观和关键识别特征。","画面重点是人物与台球杆形成真实使用关系，同时保持台球杆作为专业器材的质感、细节和主角地位；人物使用关系优先于局部特写，细节高光、材质纹理和局部工艺只作为次级强化，场景和道具只做低存在感承托。","采用台球杆人物使用陈列，人物使用上传商品图中的同一根台球杆形成真实出杆姿态，后手位于杆尾或握把区域，前手贴台形成架杆；默认用能完整读出人物与球杆使用关系的近中景、中景或半身镜头组织画面，同时保持台球杆是画面主角。","neg_product_identity|neg_no_crop_occlusion|neg_visual_clutter|neg_people_not_using_product","台球杆 A/S 人物参与专用组合；只适用于单张台球杆素材，不替代多杆陈列。"
"combo_billiards_competition_scene","台球杆竞技场景陈列","台球杆 A 档真实场景承托能力，以真实台球语境中的专业器材展示为核心，突出器材控制感、空间秩序和兴趣消费价值。","1_plus","m_professional_recommendation|m_good_goods|m_flash_sale|m_subsidy_benefit","biz_n_category","rel_single_hero|rel_multi_collection","上传图作为商品身份参考，不锁死原图构图；真实场景只负责提供标准台球厅、斯诺克馆、练球台或俱乐部兴趣空间中的语境，商品摆放仍继承 combo_billiards_cue_natural_texture_display / 台球杆自然质感陈列。默认保持局部放大主视觉；多杆保持成组错落陈列，不做商品堆叠。","场景以台球杆为主角，绿色台呢、桌边、少量台球、杆架、灯光和俱乐部空间只做低存在感专业语境；画面保持商品整体识别、专业、克制、真实、有控制感。","采用台球杆竞技场景陈列，用真实台球语境承托台球杆自然质感陈列，让场景解释器材价值但不改写商品主角地位。","neg_product_identity|neg_no_crop_occlusion|neg_visual_clutter","台球杆 A 档场景承托；优先配合 bg_billiards_clean_table，不替代台球杆 A/S 的自然质感组合。"
"combo_billiards_surreal_concept_scene","台球杆超现实概念陈列","台球杆 S 档概念空间承托能力，以超现实空间中的专业器材主视觉为核心，突出器材精密感、收藏级质感和概念广告气质。","1_plus","m_professional_recommendation|m_good_goods|m_new_arrival","biz_n_category","rel_single_hero|rel_multi_collection","上传图作为商品身份参考，不锁死原图构图；超现实空间只负责提供材质漂浮空间、几何结构解构空间、超现实桌台重构或光线雕刻等承托，商品摆放仍继承 combo_billiards_cue_natural_texture_display / 台球杆自然质感陈列。默认保持局部放大主视觉；多杆保持成组错落、同向延展、尺度错位或前后景呼应，不做普通商品排队。","画面强调器材精密感、长线条控制感、漂浮承托、空间切面和高端广告留白；超现实元素只服务台球杆主视觉，不遮挡关键识别特征，不削弱材质和结构识别。","采用台球杆超现实概念陈列，用克制的概念广告空间承托台球杆自然质感陈列，通过漂浮、结构解构、桌台重构或光线雕刻强化高端器材主视觉。","neg_product_identity|neg_no_crop_occlusion|neg_visual_clutter","台球杆 S 档场景承托；优先配合 bg_billiards_surreal_concept_space，不替代台球杆 A/S 的自然质感组合。"
"combo_ce_single_scene","消费电子单品场景表达","消费电子 A 档父级组合入口，根据补充要求或随机选择高级摄影生活方式或人物局部使用。","1","m_lifestyle_seeding|m_professional_recommendation|m_good_goods|m_seasonal_promotion|m_new_arrival","biz_consumer_electronics","rel_single_hero|rel_primary_support","从 combo_ce_photo_lifestyle / 消费电子高级摄影生活方式 或 combo_ce_partial_people_use / 消费电子人物局部使用中选择一种主表达，并把选中组合写入 review；人物、佩戴、手持、操作、局部人物等补充要求优先命中人物局部使用；生活方式、窗边、通勤、办公、居家、沙滩、夏天等补充要求优先命中高级摄影生活方式；无补充要求时在 A 档候选中随机。","A 档重点是把使用产品后的生活状态或使用关系拍高级；产品自然融入场景但保持清晰可识别，通过高光、清晰边缘、材质反射、佩戴关系、接触阴影、明暗层次和景深突出。","采用消费电子单品场景表达，从高级摄影生活方式或人物局部使用中选定一种主表达并写入 review，同时选定消费电子光影策略。","neg_product_identity|neg_no_crop_occlusion|neg_visual_clutter|neg_people_not_using_product","消费电子 A 档父级入口；具体视觉语言读取 combo_ce_photo_lifestyle 或 combo_ce_partial_people_use。"
"combo_ce_photo_lifestyle","消费电子高级摄影生活方式","消费电子 A 档候选；产品进入品牌生活方式摄影语境，真实光线、浅景深、材质高光、人物或空间情绪共同服务使用体验。","1_plus","m_lifestyle_seeding|m_professional_recommendation|m_good_goods|m_seasonal_promotion|m_new_arrival","biz_consumer_electronics","rel_single_hero|rel_primary_support|rel_multi_collection","用自然窗光、侧逆光、树影投射、浅景深、织物质感、墙面光影、书本、咖啡杯、植物、沙发或桌角等少量真实生活细节表现理想使用状态；产品自然融入生活场景，不必最大，但要通过清晰边缘、材质反射、佩戴或使用关系保持可识别。","真实生活细节、光影、空间和材质共同服务商品识别；文字低占比、留白充分，画面像品牌生活方式广告。","选中消费电子高级摄影生活方式：用真实生活光影、浅景深和少量生活细节表现理想使用状态，产品自然融入场景并保持清晰可识别。","neg_product_identity|neg_no_crop_occlusion|neg_visual_clutter","消费电子 A 档候选；补充要求出现生活方式、窗边、通勤、办公、居家、沙滩、夏天等具体生活场景时优先。"
"combo_ce_partial_people_use","消费电子人物局部使用","消费电子 A 档候选；人物承担使用关系、情绪状态和光影氛围，画面围绕产品、手部、耳部、肩颈、佩戴部位或操作动作组织。","1","m_lifestyle_seeding|m_professional_recommendation|m_good_goods|m_seasonal_promotion","biz_consumer_electronics","rel_single_hero|rel_primary_support","人物不是展示模特，而是使用状态和氛围辅助；可采用背向、侧身、完整侧转、闭眼侧脸、暗部轮廓、低对比人物剪影、耳部佩戴、手持或手部操作；产品不必巨大，但必须通过佩戴关系、清晰边缘、材质反射、轮廓高光和明暗对比成为可识别焦点。","人物光影服务商品和情绪；人物局部使用适合单品，人物与用户提供的商品形成可见佩戴、手持、操作或使用关系。","选中消费电子人物局部使用：用局部人物、手部、耳部、佩戴或操作关系证明商品使用价值，商品保持清晰可识别。","neg_product_identity|neg_no_crop_occlusion|neg_visual_clutter|neg_people_not_using_product","消费电子 A 档候选；补充要求出现人物、佩戴、手持、操作、局部人物、不露脸、侧身、手部等词时优先；该组合适合单品。"
"combo_product_cards","商品卡阵列组合","多个商品、多个对象或明确并列信息结构进入统一模块，适合多对象并列、比较和分组表达。","2_plus_or_parallel_structure","m_flash_sale|m_subsidy_benefit|m_sales_ranking|m_good_goods","biz_consumer_electronics|biz_n_category|biz_recycle","rel_multi_collection|rel_ranked_list|rel_multi_recyclable","用统一容器组织多个商品、SKU、配件、品类、权益对象、服务对象、流程节点或并列比较模块，容器可以是卡片、信息格、横向分区或纵向序列；卡券类对象按虚拟权益卡、充值卡、会员卡或兑换卡组织；潮玩在用户明确平面卡片、收藏卡、图鉴或多卡并列时可进入商品卡阵列组合，卡片样式保持同一体系。","卡片像运营界面的信息架构：边距、对齐、阴影、圆角、色彩和阅读顺序统一，每个对象露出完整，模块之间有清晰层级；潮玩平面卡片风从收藏卡、贴纸框或相框中选择一种主卡片语言，卡片轻松错落但仍有主次；卡券类卡片强调可信卡面、权益层级和兑换/充值价值，不做成潮玩手帐贴纸。","采用商品卡阵列组合，多个商品、对象或并列比较模块进入清晰模块卡片，卡片数量克制，对象露出完整。","neg_product_identity|neg_no_crop_occlusion|neg_no_unprovided_facts|neg_visual_clutter|neg_background_disconnected_system","组合层命名；稳定承托下的多对象模块化陈列；适合多商品、多 SKU、多品类、多权益对象、多服务对象、榜单或对比结构。潮玩普通场景表达优先同品类多款或场景化陈列，明确平面卡片风时再优先商品卡阵列组合。"
