"negative_rule_id","rule_name","rule_type","applies_when","negative_prompt_fragment","severity","notes"
"neg_product_identity","商品身份保真","product","用户提供商品图或商品库素材","保持商品外观、结构、颜色、比例和关键识别特征，不替换商品；带屏幕、取景器、显示窗或内屏画面的商品，原商品图中的屏幕内容也属于关键识别特征，应保留主要画面内容、主体轮廓、色彩关系和明暗层次；人物参与为否只限制海报场景新增人物，不删除商品屏幕或取景画面中原本存在的人像、场景或界面；人物佩戴、手持、操作、骑行、演奏或使用商品时，允许商品视角、姿态和摆放方式随使用关系变化，但不改变商品身份。","high","商品参考图相关任务默认启用；QA 比对核心识别特征，不把合理视角变化判为失败；设备屏幕、取景器和显示窗中的原有画面按商品外观的一部分检查。"
"neg_no_unprovided_facts","事实信息限制","fact","涉及价格、折扣、补贴、排名、型号、参数、日期、服务承诺或活动范围","不新增用户未提供的价格、折扣、补贴、排名、型号、参数、日期、倒计时、服务承诺或活动范围。","high","主副标题中已有事实可保留；新增事实必须有来源；低优先级装饰性小字不作为事实信息。"
"neg_copy_exact_only","海报文案限制","text","所有生图任务","主标题、副标题和装饰字使用用户提供内容；不新增额外业务口号、按钮文案、说明文字、CTA、价格牌或事实型小字。","high","允许少量低优先级装饰性小字作为贴纸、胶带或手帐氛围元素；装饰字为空时不生成用户装饰字。"
"neg_text_accuracy","中文文字准确","text","需要渲染主标题、副标题或装饰字","不生成乱码文字，不擅自改写主标题、副标题和装饰字。","high","生图后仍需文字 QA。"
"neg_no_text_outline_shadow","文字效果限制","text","所有需要渲染主标题、副标题、装饰字或海报文字的生图任务","不使用文字描边、文字投影、立体字、金属字效、浮雕字、明显上下渐变填充、多色渐变填充、厚重渐变字、强电商模板字效、过度压迫字重、强发光字效或厚重字牌效果。","high","全局文字视觉限制，保持文字干净直接；明显渐变标题和厚重模板字效应触发文字层 QA。"
"neg_ce_font_style_mismatch","消费电子字体调性限制","text","business_line_id=biz_consumer_electronics 且需要渲染主标题","消费电子主标题不使用粗黑体、综艺感黑体、廉价促销模板黑体、厚重渐变块面字或不符合现代广告标题宋体/当代高对比中文 Serif 气质的字体。","high","消费电子专属字体 QA；字体不匹配应触发业务线字体与调性层 QA。"
"neg_no_perspective_text","文字视角限制","text","所有需要渲染主标题、副标题、装饰字或海报文字的生图任务","不使用透视文字、倾斜文字、斜切变形、空间旋转、3D 字、金属字、强投影或强描边。","high","全局文字视角限制，保持正视平面排版。"
"neg_no_text_dark_backplate","文字黑底托底限制","text","所有需要渲染主标题、副标题、装饰字或海报文字的生图任务","不在主标题、副标题或装饰字后方自动生成黑色底块、局部深色蒙版、暗色喷枪托底、脏污黑雾或其他明显暗色承托层；如需提升可读性，优先通过背景留白、亮度对比或轻量局部阅读面解决。","high","用于压制模型为增强文字可读性而自动补出的黑底或暗托；不限制正常的整体背景明暗对比。"
"neg_no_title_panel_carrier","主标题承载体限制","layout","4:3 / 16:9 / 2:1 横版、左文右图或有独立标题承载的生图任务","不把主标题放进明显边框的大卡片、大 UI 面板、厚重标题框、任务面板或按钮式容器；不让主标题形成独立大卡片承载体。","high","主标题默认直接排在背景空间上；副标题或权益可使用轻薄信息条。"
"neg_no_square_title_forced_linebreak","1:1 主标题强制折行限制","layout","format_id=fmt_square_1_1 且用户未明确要求主标题折行","1:1 正方形海报不套用横版超过 4 个汉字语义折行规则；用户未明确要求时，不把主标题强制拆成两行。","high","1:1 主标题默认完整单行呈现；如模型把横版折行规则迁移到 1:1，触发文字层 QA。"
"neg_no_duplicate_copy","文案重复限制","text","所有生图任务，尤其是副标题含权益、卖点、会员、充值、兑换或服务点列表时","同一条用户文案只能选择一种承载方式；主标题只出现一次；列表型副标题拆成权益卡、卖点卡、会员卡、充值卡、兑换卡或服务卡后，不再重复渲染副标题整句。","high","解决副标题整句和模块卡片重复出现的问题。"
"neg_no_brand_hallucination","品牌与标识限制","brand","未提供品牌或商品图中不可见品牌","不新增真实品牌名、Logo、型号名、商标、认证或官方背书；商品图已有可见标识可尽量保留。","high","避免无来源品牌化。"
"neg_no_crop_occlusion","裁切遮挡限制","layout","所有生图任务","不裁切、不遮挡商品主体，不让文字、卡片、背景或装饰压住关键商品特征。","high","商品展示和版式安全默认启用。"
"neg_no_qr_watermark_ui","额外 UI 限制","visual","所有生图任务","不添加二维码、水印、额外 UI、无关图标、无关业务可读文本或未提供事实文字。","medium","平台实际模板元素由用户另行提供；低优先级装饰性小字可作为氛围元素。"
