"background_recipe_id","background_recipe_name","background_family","background_style","context_cue","context_strength","best_for_business","best_for_category","best_for_marketing","best_for_product_combination","best_for_composition","avoid_for","prompt_fragment","positive_visual_language","continuity_rules","negative_rule_ids","notes"
"bg_clean_gradient_product","纯色渐变_商品承托_弱语境","纯色/渐变底","clean_gradient","product_support","weak","all","all","m_flash_sale|m_good_goods|m_professional_recommendation|m_new_arrival","combo_single_hero|combo_same_category_multi_sku","comp_stable_product","strong_scene_needed","背景采用干净的纯色或渐变承载方式，根据商品主色自适应色彩和光影，保留标题和权益空间，用轻微投影或光晕承托商品。","使用低干扰的连续色场、柔和径向光、轻微地面投影和商品后方的微光层次，让商品像被精确打光的运营主视觉。","文字区和商品区使用同一套渐变、光源和阴影逻辑；渐变从标题区自然过渡到商品区，上下空间连贯。","neg_visual_clutter|neg_no_crop_occlusion|neg_no_template_sale","稳定承托优先；通用安全背景。"
"bg_light_tech_product_space","高级感消费电子_精致科技商品空间_中语境","科技商品空间","light_tech_product_space","product_tech_value","medium","biz_consumer_electronics","cat_phone|cat_computer|cat_tablet|cat_camera|cat_headphones|cat_smart_wearable|cat_game_device|cat_home_appliance","m_flash_sale|m_good_goods|m_professional_recommendation|m_lifestyle_seeding|m_new_arrival","combo_single_hero|combo_scene_display|combo_same_category_multi_sku|combo_cross_category|combo_ce_curated_assortment","comp_stable_product|comp_scene_immersive","recycle_service_trust|game_activity_ui|heavy_neon_stage","背景采用克制高端消费电子商品空间，并先选定一种消费电子光影策略写入 review：浅色强对比、深色强对比、自然窗光、侧逆光、品牌/商品主色主导色场或中性材质光。空间可用主体清晰展示、功能局部、高级几何承托空间、几何展台、建筑感块面、真实或半真实桌面、屏幕微光、局部聚光和明确投影承托商品。","空间干净、专业、克制且有材质厚度：产品边缘高光、材质反射、接触阴影、强明暗层次、局部聚光、真实桌面、几何承托或几何展台共同服务商品识别；浅色强对比时也要有明确光源、明暗切面、暖冷关系和材质层次；当商品存在明确屏幕主色、商品跳色、品牌色或可提取主色时，该颜色应形成背景主色场、主墙面色、主渐变空间或最大面积空间色，不只作为点缀；信息层采用纯文字短句、细分隔线或中点分隔、低存在感排版，不使用图标卡、权益卡、卖点卡或按钮式模块，也不依赖大量发光线条、数据面板或科技边框来制造高级感。","商品、标题文字、信息模块和空间光源共享同一透视与阴影；选定光影策略贯穿背景、商品高光、信息模块和承托结构；高级感来自光线、材质、构图和信息克制。","neg_product_identity|neg_no_crop_occlusion|neg_visual_clutter|neg_no_template_sale","稳定承托和专题货盘均可使用；消费电子优先背景，也可在场景表达中作为精致科技使用语境。承托结构优先几何承托、几何展台、真实或半真实桌面。"
"bg_graphic_operation","通用_平面图形_拼贴运营_中语境","平面图形底","flat_graphic_collage","interest_operation_mood","medium","biz_n_category|biz_consumer_electronics","all","m_seasonal_promotion|m_good_goods|m_subsidy_benefit|m_lifestyle_seeding|m_flash_sale|m_sales_ranking","combo_single_hero|combo_cross_category|combo_scene_display|combo_subject_card_carrier|combo_product_cards|combo_same_category_multi_sku","comp_card_grid|comp_scene_immersive|comp_stable_product","recycle_service_trust|premium_dark_trust|minimal_professional_podium","背景采用平面图形拼贴运营风，根据主题只选择 1-2 类平面主元素组织画面，例如色块、柔和渐变、低透明纹理、几何图形、贴纸、标签、轻动线或网格元素，形成平面化、轻拼贴、强层级的运营视觉。","图形元素要像一个统一设计系统：每张图只取少量主元素，并共享同一套色彩、边距、阴影和节奏；可根据品类调制，潮玩偏贴纸描边、收藏卡、柔和趣味色块和轻错落陈列，游戏偏弱游戏语境、动态线条和克制撞色，卡券偏虚拟权益卡面、充值卡、会员卡、兑换卡和轻权益模块，图书或轻生活方式偏纸张、便签和照片拼贴。","平面图形只负责承托标题、主体和信息模块；主体或商品仍是前景焦点，标题区保持可读，不额外生成无关装饰文字；所有图形、卡片和商品使用统一视觉层级；潮玩可更松弛错落，卡券保持卡面层级和权益信息清晰。","neg_visual_clutter|neg_no_crop_occlusion|neg_no_template_sale|neg_no_duplicate_copy","稳定承托和场景表达都可使用，需由商品组合和标题语义调制；N 品类优先的通用平面运营风。"
"bg_collectible_flat_collage","潮玩_平面拼贴专题_中语境","平面图形底","collectible_flat_collage","collectible_topic_mood","medium","biz_n_category","cat_collectible_toy","m_seasonal_promotion|m_good_goods|m_subsidy_benefit|m_lifestyle_seeding|m_flash_sale","combo_single_hero|combo_scene_display|combo_subject_card_carrier|combo_product_cards|combo_same_category_multi_sku","comp_card_grid|comp_scene_immersive|comp_stable_product","recycle_service_trust|premium_dark_trust|minimal_professional_podium","背景采用温暖手帐纸艺拼贴运营风。潮玩 A 档固定使用撕纸标题区、浅绿网格便签、顶部圆环夹、纸胶带、少量贴纸和细虚线涂鸦；以奶油白和浅草绿为基础，搭配商品色形成平面化、轻拼贴、强层级的运营视觉。","图形元素共享纸张纤维、柔和色彩、统一边距、轻投影和拼贴节奏；潮玩 A 档以撕纸、网格便签、圆环夹、纸胶带、贴纸和虚线涂鸦形成稳定的手帐纸艺系统，商品切图以清晰白边进入同一系统并保持轻错落陈列。","撕纸标题区、网格便签、商品切图、纸胶带、贴纸和虚线涂鸦共享同一套浅色纸艺材质、边缘处理、光源和层级；主体或商品仍是前景焦点，标题区保持可读。","neg_visual_clutter|neg_no_crop_occlusion|neg_no_template_sale|neg_no_duplicate_copy","N 品类潮玩 A 档默认使用手帐纸艺拼贴；按商品数量组织单品或多款陈列。"
"bg_game_flat_light","游戏_浅色平面视觉_中语境","平面图形底","game_flat_light","game_flat_topic","medium","biz_n_category","cat_game","m_good_goods|m_flash_sale|m_professional_recommendation","combo_scene_display|combo_single_hero|combo_same_category_multi_sku","comp_scene_immersive|comp_stable_product","service_trust|premium_dark_trust","背景采用平面图形拼贴运营风，根据主题只选择 1-2 类平面主元素组织画面，例如色块、柔和渐变、低透明纹理、几何图形、贴纸、标签、轻动线或网格元素，形成平面化、轻拼贴、强层级的运营视觉。","图形元素要像一个统一设计系统：每张图只取少量主元素，并共享同一套色彩、边距、阴影和节奏；游戏偏弱游戏语境、动态线条和克制撞色。","平面图形只负责承托标题、主体和信息模块；主体或商品仍是前景焦点，标题区保持可读，不额外生成无关装饰文字；所有图形、卡片和主体使用统一视觉层级。","neg_game_no_ip_hallucination|neg_no_unprovided_facts|neg_visual_clutter|neg_no_text_outline_shadow|neg_no_perspective_text|neg_no_title_panel_carrier","稳定承托和场景表达都可使用，需由商品组合和标题语义调制；N 品类游戏优先的平面运营风。"
"bg_content_topic_flat_3d","潮玩_平面立体融合_中语境","内容专题背景","flat_3d_topic","content_topic_display","medium","biz_n_category","cat_collectible_toy|cat_book|cat_general|cat_sports_racket","m_good_goods|m_lifestyle_seeding|m_seasonal_promotion|m_flash_sale|m_subsidy_benefit","combo_scene_display|combo_same_category_multi_sku|combo_subject_card_carrier","comp_scene_immersive|comp_stable_product","recycle_service_trust|heavy_price_layout|pure_tech_space","背景采用平面图形背景与轻立体陈列空间融合的内容专题背景；潮玩 S 档平面层固定包含可见撕纸边缘，再选少量贴纸、柔和色块、便签或相框补充，商品区选择 1 类主承托、最多 1 类辅助承托形成轻立体陈列。","潮玩 S 档的撕纸是固定层；其余平面层可从贴纸、柔和色块、便签或相框中少量取用；轻立体层可从小台面、礼盒、浅空间、软道具或展示块中少量取用；平面元素和立体商品共享柔和色彩、统一阴影和可爱专题节奏，适合潮玩、轻礼品、小物件和内容专题陈列。","标题区、平面贴纸层、轻立体承托和商品共享统一色彩、阴影、边缘过渡和图形节奏；平面背景服务阅读，轻立体空间服务商品层级，二者自然衔接。","neg_product_identity|neg_no_crop_occlusion|neg_visual_clutter|neg_no_template_sale|neg_background_disconnected_system","潮玩 S 档固定包含撕纸；用户补充平面风时可退到平面图形拼贴，补充立体风时可转纯立体展台或生活方式场景。"
"bg_product_podium","通用_商品展台_价值陈列_弱中语境","商品展台底","podium_display","value_display","weak_to_medium","all","cat_billiards_cue|cat_phone|cat_camera|cat_luxury|cat_gold|cat_collectible_toy","m_good_goods|m_professional_recommendation|m_new_arrival|m_service_trust","combo_single_hero|combo_same_category_multi_sku","comp_stable_product|comp_premium_closeup","dense_information_layout","背景用展台、台面、展柜或舞台承托商品，每张图选择一种主承托语言，强化价值、秩序和陈列感，标题区保持清晰。","展台要有真实承托感和高级陈列感：台面厚度、接触阴影、边缘高光和商品投影一致，形成稳重但不沉闷的商品展示空间；潮玩立体风可调制为干净可爱的礼物橱窗、收藏展示或柔和小展台。","展台、背景墙和标题区域属于同一空间，光源方向统一；商品底部通过接触关系或投影建立稳定空间关系。","neg_product_identity|neg_no_crop_occlusion|neg_visual_clutter","稳定承托优先；适合商品价值和信任。"
"bg_billiards_clean_table","台球杆_生活兴趣场景_中语境","具体场景类","billiards_clean_table","billiards_professional_scene","medium","biz_n_category","cat_billiards_cue","m_good_goods|m_professional_recommendation|m_lifestyle_seeding|m_flash_sale","combo_billiards_cue_natural_texture_display|combo_billiards_cue_people_use|combo_scene_display|combo_single_hero","comp_scene_immersive|comp_stable_product|comp_premium_closeup","heavy_price_layout|unrelated_lifestyle","背景呈现台球杆 A 档专属生活兴趣场景。以台球桌为主要空间载体，空间可为 loft 角落、木质环境或轻室内场景。背景元素从台球、巧粉、架杆、局部台球桌面、植物投影、书本纸张、少量浅色器物中选择 2 个。","场景以台球杆为主角，台球桌占主要空间比例。周围带少量生活化痕迹，但不拼贴、不造假、不走训练感。可用局部台球桌面、真实台球、低存在感架杆，以及植物影子、纸张书本、布面或浅色器物形成安静、克制的生活空间。选中的 2 个元素只做陪衬，服务商品主视觉和标题阅读。","台球杆主体、人物手部、标题区、少量场景线索和投影共享同一透视与主光方向；场景服务杆体材质、人物击球关系、局部工艺、控制感和标题阅读，延续台球杆商品主视觉骨架。","neg_product_identity|neg_no_crop_occlusion|neg_visual_clutter","台球杆 A 档优先背景；用于与 B 档拉开差异的生活兴趣场景表达。"
"bg_billiards_premium_texture_display","台球杆_高级材质陈列背景_弱中语境","材质陈列空间","billiards_premium_texture_display","cue_premium_texture_display","weak_to_medium","biz_n_category","cat_billiards_cue","m_good_goods|m_professional_recommendation|m_flash_sale|m_new_arrival","combo_single_hero|combo_scene_display","comp_premium_closeup|comp_stable_product","heavy_price_layout|unrelated_lifestyle|busy_club_scene","背景采用台球杆 B 档专用高级材质陈列空间；从深色台呢、绒面托盘、皮革台面、深木台面、石材块、浅色纸面或高级墙面中选择一种主承托材质，并可加入少量虚化台球、桌边、杆架、酒杯、玻璃反光或俱乐部暗部灯光作为低存在感后景。色彩可从墨绿、深绿、黑蓝、深棕、酒红、金色、象牙白和暖黑中按商品材质选择一组，形成收藏级专业器材氛围。","空间像高级台球杆品牌广告的材质陈列：主材质占画面主要承托，石材、深木、台呢、皮革或纸感只选一到两类形成层次，细颗粒噪点、纸面纤维、石材纹理或绒面纹理保持克制比例；局部聚光、斜向硬光、窄边高光、低反射台面、暗部层次和杆体接触阴影共同突出握把皮纹、尾部装饰、镶嵌纹理、金属环、木纹和漆面反光；少量台球语境在远景或边缘虚化出现，画面保持克制、专业、有收藏价值。","球杆、台面或托盘、虚化道具、标题区和光影共享同一透视与主光方向；背景纹理服务球杆局部工艺、长线条和标题阅读，标题区保留清晰暗部或浅色呼吸空间。","neg_product_identity|neg_no_crop_occlusion|neg_visual_clutter","台球杆 B 档优先背景；承接高级商品光影调制，目标是低语境台球专业氛围、材质陈列、局部工艺近景、深色或浅色高级器材空间。"
"bg_billiards_surreal_concept_space","台球杆_超现实概念空间_强语境","超现实概念空间","billiards_surreal_concept","cue_concept_visual","strong","biz_n_category","cat_billiards_cue","m_good_goods|m_professional_recommendation|m_flash_sale|m_new_arrival","combo_billiards_cue_natural_texture_display|combo_billiards_cue_people_use|combo_scene_display|combo_single_hero","comp_scene_immersive|comp_premium_closeup|comp_stable_product","ordinary_table_scene|busy_club_scene|dense_information_layout","背景呈现台球杆 S 档专属概念化主视觉空间；主方向默认优先超现实桌台重构，也可按任务需要切换为材质漂浮空间、几何结构解构空间或光线雕刻空间，用抽象空间承托台球杆的精密器材感和高端广告气质。可使用深色概念空间、浅沙色、米金色、浅雾白或浅色几何建筑感空间。","空间以台球杆为主视觉轴线。可见背景元素从浅色石台、漂浮岩石、漂浮材质碎片、雾化空气、柔金属高光、台阶、立柱、浅色建筑感结构、黑球8中选择 2 个，形成克制的概念背景；如出现球体，统一表现为黑球8，并根据出杆关系、构图和概念空间需要决定位置和存在感。材质纹理保持克制比例，细颗粒噪点、石材纹理、纸面纤维或雾感作为空间质感层，服务杆身纹理、金属环、镶嵌装饰和漆面高光。","台球杆、人物手部或出杆关系、重构桌台、漂浮材质、雾化层、黑球8、标题区和投影共享同一空间方向；概念元素围绕自然落位关系或真实击球关系、局部工艺和桌台空间线索展开，形成高端、克制、可读的主视觉空间。","neg_product_identity|neg_no_crop_occlusion|neg_visual_clutter|neg_background_disconnected_system","台球杆 S 档优先背景；承接超现实概念主视觉，默认优先超现实桌台重构，球体语义统一表现为黑球8。"
