"fragment_id","fragment_type","source_table","source_id","prompt_fragment","negative_rule_ids","required_when","avoid_when","notes"
"frag_business_n","business_boundary","01_business_lines","biz_n_category","这是一张转转 N 品类运营海报，重点是兴趣消费、专业器材或生活方式商品的价值表达，整体应有内容审美和商品专题感。","neg_product_identity|neg_no_template_sale","business_line_id=biz_n_category","",""
"frag_business_ce","business_boundary","01_business_lines","biz_consumer_electronics","这是一张转转消费电子运营海报，重点是商品主体、平台信任、价格权益或购买转化，整体必须有高级感和高级海报质感：干净专业、商品清晰、轻科技且有品牌广告感；画面可深可浅，但需要选定一种消费电子光影策略并贯穿画面，例如浅色强对比、深色强对比、自然窗光、侧逆光、品牌/商品主色主导色场或中性材质光；当商品存在明确屏幕主色、商品跳色、品牌色或可提取主色时，该颜色应发展为背景主色场或主空间色，而不是只作为边缘光、灯带、细线或小面积点缀；通过统一光源、光影切面、材质反射、主体边缘高光、接触阴影、留白松弛、克制信息层、真实空间或克制几何块面形成品牌广告级商品摄影感；实景方向经过广告化设计处理，有明确光源、道具秩序、轻量信息层或空间叙事；文字系统采用现代广告标题宋体或当代高对比中文 Serif 气质，主标题结构稳定、字面舒展、横竖对比清晰、平面利落；副标题和权益信息延续同一现代中文字体气质但更克制清晰。","neg_product_identity|neg_no_unprovided_facts|neg_ce_font_style_mismatch","business_line_id=biz_consumer_electronics","","消费电子专属文字调性；不影响 N 品类和回收。"
"frag_business_recycle","business_boundary","01_business_lines","biz_recycle","这是一张转转回收业务运营海报，重点是可回收、估价、补贴、质检、隐私、打款和服务可信，整体应简单、省心、值得信任；画面以浅色简洁背景、清晰商品或回收对象、产品自带色彩呼应和克制信息层建立平台可信感。主标题采用端正稳定、笔画厚实、重心稳、字面略紧的现代标题黑体气质，副标题和补贴信息更细、更克制清晰。","neg_business_recycle_not_sale|neg_service_claims_source|neg_no_unprovided_facts","business_line_id=biz_recycle","",""
"frag_product_visual_source","product_source","00_fields","product_assets","商品素材以用户提供图片或商品库素材为准，作为商品外观来源，不作为可随意替换的灵感参考；人物使用商品时，商品可以随佩戴、手持、操作、骑行、演奏或试用关系改变视角和姿态，但核心外观、颜色、结构、比例和关键识别特征保持一致；若商品图中有设备屏幕、取景器或显示窗画面，该画面属于商品外观的一部分，应保留主要画面内容、主体轮廓、色彩关系和明暗层次；人物参与为否只限制海报场景新增人物，不删除商品屏幕或取景画面中原本存在的人像、场景或界面。","neg_product_identity|neg_no_brand_hallucination","always","",""
"frag_copy_source_user","copy_source","00_fields","main_title_subtitle_decorative_text","主标题、副标题和用户装饰字来自用户输入；主副标题可以作为海报文案事实来源，用户装饰字只作为手写风格自由叠加元素使用；少量低优先级装饰性小字可作为贴纸、胶带或手帐氛围元素，不作为业务文案或事实信息。","neg_copy_exact_only|neg_no_unprovided_facts|neg_no_duplicate_copy","always","","用于区分用户提供业务文案、用户装饰字和氛围装饰性小字。"
"frag_visual_expression_mode","routing_rule","00_fields","visual_expression_mode","视觉表达模式用于先决定稳定承托或场景表达，再联动商品组合、构图和背景；稳定承托强调商品完整清晰、信息干净、整体场景克制，场景表达强调商品进入使用语境、内容语境或活动语境；人物、手部、佩戴、操作或道具关系由人物参与、商品组合和 QA 共同判定，只在服务主题价值时出现。","neg_product_identity|neg_no_crop_occlusion|neg_visual_clutter","always","","用户不填时按自动模式推断。"
"frag_people_participation","routing_rule","00_fields","people_participation","人物参与用于决定人物、手部、佩戴、操作或使用者关系是否成为商品呈现方式；自动模式下根据标题、商品价值、视觉表达模式、补充要求和素材判断，人物参与为否时保持无人物陈列，人物参与为是时将商品组合路由为人物使用用户提供的商品，形成清晰可见的佩戴、手持、操作、骑行、演奏、试用或使用中展示关系，人物动作、身体位置和视线共同服务商品使用价值；具体形式由商品组合、构图、背景和 QA 联动判断。","neg_product_identity|neg_no_crop_occlusion|neg_visual_clutter|neg_people_not_using_product","always","","人物参与是粗粒度开关，不细分手持、佩戴、操作或互动类型。"
"frag_benefit_modules_light","information_layer","04_marketing_types","m_flash_sale|m_subsidy_benefit|m_sales_ranking","仅当用户明确提供多条并列权益点、服务点、排行项，或明确要求信息模块时，才将这些已提供信息整理为轻量文字信息层；优先使用纯文字短句、细分隔线、中点分隔或低存在感信息行，作为标题或商品旁的辅助信息层融入画面，不作为整张背景主风格；若用户只提供单句主标题或单句副标题，不额外扩写为卖点条、服务条、平台条、按钮式说明或图标化权益模块；卡券类会员、充值、兑换等虚拟权益卡面由卡券品类和专门背景承接，不在通用权益模块中默认生成权益卡、卖点卡或图标。","neg_no_unprovided_facts|neg_no_duplicate_copy|neg_visual_clutter|neg_heavy_benefit_cards","subtitle_contains_parallel_benefits or user_explicitly_requests_info_modules","","用于保留用户已提供的并列权益或卖点信息的轻量文字展示；默认不把单句利益点自动扩写成额外信息层。"
"frag_title_exact","text_requirement","00_fields","main_title_subtitle","主标题和副标题使用用户提供的文字；主标题和副标题采用干净平面字体，字面颜色稳定，正视平面排版，文字基线稳定、横平竖直、正对画面阅读；主标题字面保持平面干净，字重有清晰识别度但不过度压迫，颜色可与画面协调但保持稳定；主标题和副标题形成上下两个独立信息层，副标题位于主标题下方，保留明显视觉空气层，间距大于主标题内部行距，整体阅读节奏舒展。","neg_text_accuracy|neg_no_text_outline_shadow|neg_no_perspective_text|neg_no_crop_occlusion|neg_no_duplicate_copy|neg_no_title_panel_carrier","always","","若图像模型文字不稳定，生成后需要文字 QA。"
"frag_decorative_text_optional","text_decoration","00_fields","decorative_text","用户提供装饰字时，将装饰字作为手写风格的自由叠加元素处理，可叠加在主标题左上角附近，或轻叠在商品、人物或主视觉边缘，形成松弛的设计笔触；装饰字服务画面氛围，不作为第三条营销文案，不遮挡主标题、副标题、人物脸部或商品关键特征。","neg_copy_exact_only|neg_text_accuracy|neg_visual_clutter|neg_no_crop_occlusion","decorative_text is provided","decorative_text=无 or empty","装饰字为空时不调用。"
