"field_id","field_name","required_level","input_source","agent_behavior","notes"
"product_assets","商品素材","required","human","accept_uploaded_images_paths_or_product_ids","用户可直接拖图。只有图片时按可见商品外观处理，品牌型号价格可缺省。会员 A/S 2:1 最多接收 4 个商品，按商品主体轮廓和主次自动分配槽位：竖型主商品优先中间，扁型商品优先两侧；用户明确指定槽位时优先，上传顺序仅作同优先级决胜。金币固定保留。"
"main_title","主标题","required","human","preserve_as_poster_title_and_infer_marketing_type","主标题既是海报文字，也是营销目的推断的重要信号。"
"subtitle","副标题","required_or_none","human","preserve_when_present_and_infer_marketing_type","没有副标题时用户写无，Agent 不强行添加副标题；列表型副标题可整句承载或拆卡承载，但不能重复出现。"
"decorative_text","装饰字","optional","human","use_as_optional_handwritten_overlay_only_when_provided","用户不填时不生成用户指定装饰字；用户填写时作为手写风格自由叠加元素，可叠加在主标题左上角附近或商品/主视觉边缘，不作为主标题、副标题或事实信息；低优先级装饰性小字可作为氛围元素，不作为业务文案或事实信息。"
"visual_preset_level","视觉方案档位","optional_or_auto","human_or_agent","map_to_category_specific_preset_path_when_available","默认用户输入项；可输入自动、B、A、S。填写 B/A/S 时，Agent 先按业务线、品类和档位读取 13_visual_preset_paths.csv，将其展开为内部路由因子、优先背景和短路由摘要；具体视觉语言读取对应背景、组合和构图表；用户显式填写底层测试字段时，底层字段优先，但命中 B 档预设时仍强制人物参与为否。"
"ce_visual_subpath","消费电子A/S组合方向","inferred","agent","resolve_consumer_electronics_a_s_to_combination_direction","消费电子 A/S 命中预设路径后使用；A 在消费电子高级摄影生活方式、消费电子人物局部使用中选一；S 在消费电子微缩主题场景、消费电子超现实商品场景中选一；具体定义读取 08_product_combinations.csv。"
"ce_lighting_strategy","消费电子光影策略","inferred","agent","select_consumer_electronics_lighting_strategy","消费电子 B/A/S 命中预设路径后使用；由 Agent 按商品、主题、参考图和命中背景选择一种消费电子光影策略，并写入 review 和最终 Prompt；具体光影、主色、材质、空间和留白表现读取 11_prompt_fragments.csv、09_background_recipes.csv 和 08_product_combinations.csv。"
"visual_expression_mode","视觉表达模式","optional_advanced_or_internal","human_or_agent","route_product_combination_composition_and_background","高级测试字段或内部路由因子；可输入自动、稳定承托、场景表达。普通用户默认不必填写；当用户显式填写时优先于视觉方案档位，用于测试和映射验证。"
"people_participation","人物参与","optional_advanced_or_internal","human_or_agent","route_people_use_relation_as_product_presentation","高级测试字段或内部路由因子；可输入自动、否、是。普通用户默认不必填写；当用户显式填写时优先于视觉方案档位，但命中 B 档预设或多素材 / 多主体商品结构时强制回落为否。人物参与为是时，需要与用户提供的商品形成可见使用关系。"
"business_line","业务线","required","human_or_infer","map_to_business_line_id_or_ask_if_risky","可输入 N 品类、消费电子、回收、会员；若用户未提供或表达含糊，Agent 可在高置信时推断，否则提问确认。"
"visual_tone","视觉调性","inferred","agent","inherit_from_business_line_then_modulate_by_category_marketing_visual_expression_combination_composition_background","业务线提供基础调性；品类、营销、视觉表达模式、商品关系、商品组合、构图和背景只做调制，不反向覆盖业务线。"
"format_layout","输出规格","required","human","map_to_format_id","v0.1 支持 1:1、4:3、16:9 和 2:1。"
"supplement","补充要求","optional","human","use_for_preferences_constraints_and_context","可写背景偏好、干净度、参考图方向、额外限制等。"
"marketing_type","营销活动形式","inferred","agent","infer_from_title_subtitle_business_line_and_supplement","用户不必记枚举。"
"product_category","商品品类","inferred","agent","infer_from_image_or_product_id_when_safe","只做视觉安全推断；精确型号走统一事实限制。"
"game_visual_asset_type","游戏视觉素材类型","inferred","agent","infer_only_for_n_category_game_character_assets","仅在 N 品类游戏人物素材中判断：单张游戏人物/角色立绘为 game_character_visual；多张游戏人物/多角色立绘为 game_multi_character_visual。会员充值、点卡、权益卡先归 N 品类卡券；Switch、PS5、手柄、主机等实物设备先归消费电子游戏设备；多张混合游戏素材留作后续多品类路由。"
"product_relation","商品关系","inferred","agent","infer_from_image_count_hero_status_and_marketing_type","决定主次关系。"
"product_combination","商品组合方式","inferred","agent","link_from_relation_marketing_type_business_line_and_image_count","决定商品如何组织和陈列。"
"composition_camera","构图镜头","inferred","agent","link_from_marketing_type_combination_and_format","控制透视、动势和主视觉能量。"
"background_recipe","背景方案","inferred","agent","link_from_marketing_type_category_combination_and_composition","背景方案作为可调用承载方式，与营销、品类、商品组合和构图联动。"
"fact_claims","事实信息","triggered","human","ask_only_when_claims_are_present_or_needed","价格、补贴、排名、型号、日期、服务承诺、套装关系必须来自用户或数据。"
"negative_rule_ids","禁止项 ID","inferred","agent","select_and_merge_from_12_negative_rules","最终 Prompt 只压缩必要限制，完整禁止项写入复盘 MD。"
"output_mode","输出模式","inferred","agent","default_to_generate_image_unless_prompt_only_requested","生图、出图、做海报默认优先走 AI 生图；只有用户明确只要 Prompt 时才停在提示词；只有用户明确要求 HTML/CSS、JS、canvas、本地合成或可编辑网页稿时才切换到对应绘制方式。"
