"category_id","category_name","category_family","general_meaning","visual_traits","notes"
"cat_bicycle","骑行","N 品类","骑行兴趣和运动装备。","户外、速度、车架结构、运动生活方式；B 档偏高级商品摄影棚拍，使用高级几何色块商品空间、专业器材广告摄影、明确主光方向、车架轮廓光、轮组高光、轮胎接触阴影、路面低反射、墙地交界阴影和色块切面突出运动装备材质；A 档偏广告摄影式真实出行与平面海报化后期结合，真实户外只作为被设计过的大面积色场、构图线、远景虚化、剪影层和光影情绪底，并通过杂志广告式调色、轻度平面化、远景降细节或轻雾化形成艺术化品牌海报感，不完整交代普通风景地点；A 档必须强化骑行速度感、地面速度拖影、强侧逆光、前后空间压缩和速度透视，形成一个有冲突、有速度、有情绪的骑行视觉海报；S 档偏微缩主题场景或超现实骑行主题场景；骑行商品角度可从完整正侧面、三分之四侧前方、低机位仰拍、轻俯视三分之四、前轮近景带车身延伸、车架局部特写但保留整车识别、骑行中动态侧逆光、远景小车加大环境中选择；4:3 B 档优先大车近景广告构图、低机位三分之四侧前方、前轮近景放大、前轮近景带车身延伸或轻俯视三分之四，允许前轮更大、车身占画面更多，以形成透视压迫感，同时保留整车识别和标题阅读区；4:3 A 档优先骑行中动态侧逆光、低机位三分之四侧前方、前轮近景带车身延伸、道路线向后收束、近轮放大远景压缩和地面速度拖影，同时保留商品识别、人物使用关系和标题阅读区；骑行主标题默认使用高级运动广告宽体粗黑体，端正稳定，字面宽大，笔画厚实，几何感强，边缘干净，切角克制，整体清晰利落；标题主色根据标题所在背景切面的明暗选择，深色背景用白色/浅色标题，浅色背景用黑色/近黑色标题；跳色最多一个，来自商品色锚点或背景高彩主色，并集中用于一个完整的连续词组；其他主标题字保持选定的标题主色，副标题数字需要强调时沿用同一个跳色；可调用高级商品光影调制并展开为骑行材质与空间光影。","重点保持车架、轮胎和运动装备识别。"
"cat_billiards_cue","台球杆","N 品类","专业器材和兴趣消费。","杆体细长、材质纹理、专业展示、质感光影；B 档偏斜向长线条的高级商品摄影陈列；A 档统一使用生活兴趣场景，以台球桌为主要空间载体，场景落在 loft 角落、木质空间或轻室内环境中，整体强调稳定、精准和控制，不走训练、教学或硬陈列语境；S 档用超现实概念空间承托这套商品展示，主方向默认优先超现实桌台重构；如出现球体，统一表现为黑球8，并根据人物使用关系、构图和场景需要决定位置和存在感。上传商品图只作为身份、颜色、纹理和关键细节参考；若为真实使用关系，允许为击球动作调整角度与姿态，但必须保持同一款商品识别。台球杆主标题默认使用高级器材广告高对比中文宋体或衬线字体，字面修长，结构稳定，粗细对比明确，边缘干净，收笔克制，具有收藏级专业器材质感，这一字形方向适用于台球杆 B/A/S；标题主色根据标题所在背景空间明暗选择，深色背景用象牙白、暖白或浅金白，浅色背景用深墨绿、近黑或深棕色；跳色最多一个，可来自木纹暖色、金属环高光或深绿台呢环境色，并集中用于一个完整的连续词组或副标题数字；不使用廉价促销粗黑体、综艺黑体、厚重渐变字、描边投影或大标题框。标题权重与字号也适用于台球杆 B/A/S：先看标题字数、分行和阅读节奏，再确定字号与字重，保持标题清楚但视觉权重低于台球杆商品主体；4:3 横版中主标题组位于左侧阅读区垂直中部附近，保留上方呼吸空间，装饰字跟随主标题组且不贴近左上角；详细标题装配规则以 `prompt-assembly.md` 为准；可调用高级商品光影调制并展开为台球杆材质与空间光影。","适合专业推荐、单品主推、多杆陈列和极简光影。"
"cat_musical_instrument","乐器","N 品类","兴趣消费和专业器材。","舞台、练习、木质或金属材质、声音想象；B 档偏低语境乐器材质空间场景棚拍，使用材质空间窗光、木质墙面或木地板、暖色墙面或深色声学墙、侧窗光、斜向光斑、暗部层次、材质光、木纹或金属高光、琴体边缘轮廓光、接触阴影和专业器材质感；A 档偏干净练习、演奏、工作室或生活方式场景，可无人物，也可按补充或随机加入人物使用关系；当 A 档转入清爽音乐活动生活方式场景时，默认使用远景降细节、轻度平面化与杂志广告式调色整理真实场景，极轻的哑光纸张颗粒和轻印刷感只作为弱完成层；S 档承接更强的主题主视觉，固定使用夜场舞台氛围：偏黑场舞台、聚光、灯束、烟雾、观众席剪影、声波光束和强事件标题；音乐节、festival、音约，以及其他活动感补充信息，默认都在夜场舞台体系内处理，不再切换到蓝天草地、户外装置、活动路牌或亮色贴纸图形等明亮主题陈列；B/A 档主标题直接继承 S 档已验证的强主题音乐海报字形气质：端正稳定、字面宽大、笔画厚实、重心稳定、局部切角克制、转角带轻微刀锋感、内白略收紧、轻微收窄、以黑体骨架为主并允许少量宋意/衬线式收笔，允许可见但克制的细印刷颗粒或微磨砂质感；整体更像被压实的音乐海报标题，不转成圆润、轻飘、细长或柔和文艺感黑体，也不走成真正的宋体或收藏感衬线路线；该纹理在 100% 查看时应可辨，但不能削弱笔画边缘清晰度、文字对比和可读性；不借用参考图颜色，也不使用描边、投影、金属、厚重渐变或大标题框；标题颜色按当前画面背景明暗、乐器主色和可读性单独决策，整体只使用两种颜色，其中大部分文字使用主色，只允许一个连续词组使用跳色，不引入第三种强调色；B/A 共用这套标题字形气质，不额外引入各自场景专属字体。S 档主标题默认使用已验证的强主题音乐海报字形气质：端正稳定、字面宽大、笔画厚实、字面偏满、重心稳定、局部切角克制、转角带轻微刀锋感、内白略收紧、轻微收窄、允许极轻印刷颗粒或磨砂质感的现代展示黑体/标题黑体，不借用参考图颜色，也不使用描边、投影、金属、厚重渐变或大标题框；标题颜色按当前画面背景明暗、乐器主色和可读性单独决策，整体只使用两种颜色，其中大部分文字使用主色，只允许一个连续词组使用跳色，不引入第三种强调色；在 4:3 或 16:9 横版中，标题组保持左侧阅读区的左右呼吸空间，不横向撑满整块文字区，也不为了填满文字区而把短标题刻意放大。可调用高级商品光影调制并展开为乐器材质与空间光影。","B 档保持乐器主体和材质识别，在低语境材质空间里做场景表达，不引入练习/生活场景；A/S 场景服务乐器主体，S 档用于更强的夜场主题表达。"
"cat_collectible_toy","潮玩","N 品类","收藏、兴趣和礼物型小物商品。","潮玩专题感、可爱收藏、礼物感、轻编辑拼贴、柔和色块、贴纸、小卡片、网格便签、纸胶带和轻立体小场景陈列；A 档采用温暖手帐纸艺拼贴，使用撕纸标题区、浅绿网格便签、顶部圆环夹、纸胶带、少量贴纸和虚线涂鸦；主标题偏圆润亲和的现代标题字形、软几何黑体或圆角标题黑体，正视平面、纯色清晰；不使用描边、投影、立体字、金属字效或渐变字效。","可通过用户品类、商品图中毛绒挂件/盲盒/玩偶/公仔/收藏摆件等视觉线索，或标题中的潮玩/毛绒/挂件/盲盒/玩偶/收藏/礼物推断；具体 IP、品牌、角色名和可读标识必须来自用户输入或商品图。"
"cat_game","游戏","N 品类","单张游戏人物、角色立绘、多张游戏人物或多角色立绘。","角色、皮肤、武器、技能、场景气质、动态线条、克制高光、弱游戏语境背景；主标题偏幻想感高对比中文标题字、修长优雅的游戏专题标题字或华丽但克制的角色活动标题字，笔画有粗细对比，带优雅弧线、尖锐收笔和轻微装饰感，保持高级、正视和平面。","N 品类游戏只处理单张游戏人物/角色立绘和多张游戏人物/多角色立绘；会员充值、点卡、权益卡归入卡券；Switch、PS5、手柄、主机等实物设备归入消费电子游戏设备；具体游戏名、IP 名、角色名和福利金额走统一限制。"
"cat_card_coupon","卡券","N 品类","虚拟权益、充值卡、会员卡、兑换卡、点卡或服务卡。","清晰卡面、会员/充值/兑换权益感、模块化信息、清晰边框、可信权益结构。","适合视频会员充值卡、咖啡充值卡、游戏会员、游戏点卡或权益卡；权益金额、品牌平台、有效期和服务承诺必须来自用户或数据。"
"cat_book","图书","N 品类","阅读和知识类商品。","书本、书架、桌面、安静场景。","适合好货推荐和生活方式种草。"
"cat_sports_racket","运动球拍","N 品类","运动器材。","运动动势、球拍形态、场地暗示。","适合专业推荐和场景化陈列。"
"cat_fishing_rod","鱼竿","N 品类","钓鱼兴趣器材。","户外水域线索、杆体质感、休闲氛围。","背景提供休闲语境，商品杆体保持清楚。"
"cat_skiing","滑雪","N 品类","滑雪装备和运动兴趣。","雪地、速度、装备、冷色光影。","季节语境需匹配标题。"
